model,activation,dropout,epochs,batch_size,train_loss,train_acc,test_loss,test_acc,gap,fit_time_s
ReLU+Dropout,relu,0.3,70,2048,0.6125239133834839,0.7913500070571899,0.5438174605369568,0.8126000165939331,-0.021250009536743164,43.44307970000227
GELU,gelu,0.0,70,2048,0.4853164255619049,0.8336833119392395,0.5166133046150208,0.8187000155448914,0.014983296394348145,41.17883779999829
Mish,mish,0.0,70,2048,0.4820988178253174,0.8342999815940857,0.5133423209190369,0.8219000101089478,0.01239997148513794,43.44871460000286
ReLU+Drop0.1,relu,0.1,70,2048,0.5388600826263428,0.8145833611488342,0.519661009311676,0.8213000297546387,-0.006716668605804443,43.586845099998754
ReLU+Drop0.2,relu,0.2,70,2048,0.573941707611084,0.8023999929428101,0.528290867805481,0.8152999877929688,-0.012899994850158691,43.996374399997876
ReLU+Drop0.4,relu,0.4,70,2048,0.6544038653373718,0.7760999798774719,0.5650201439857483,0.8043000102043152,-0.02820003032684326,43.62891500000114
ReLU+Drop0.5,relu,0.5,70,2048,0.7112767696380615,0.7494000196456909,0.586230993270874,0.7922000288963318,-0.04280000925064087,43.43169019999914
ReLU+Drop0.6,relu,0.6,70,2048,0.8036076426506042,0.7094333171844482,0.6356908679008484,0.7670000195503235,-0.057566702365875244,43.61625400000048
ReLU+Drop0.7,relu,0.7,70,2048,0.9366108775138855,0.6558833122253418,0.6917865872383118,0.7523999810218811,-0.0965166687965393,43.59313850000035
ReLU+Drop0.8,relu,0.8,70,2048,1.1901259422302246,0.5516999959945679,0.8476753830909729,0.7214999794960022,-0.16979998350143433,43.46440540000185
ReLU+Drop0.9,relu,0.9,70,2048,1.957849144935608,0.27106666564941406,1.7752615213394165,0.5745000243186951,-0.303433358669281,45.32375260000117
Sigmoid,sigmoid,0.0,70,4096,1.9189735651016235,0.6160666942596436,1.9161230325698853,0.6121000051498413,0.003966689109802246,40.10252590000164
ReLU,relu,0.0,70,4096,0.5649979710578918,0.8133999705314636,0.5876172780990601,0.8015000224113464,0.011899948120117188,39.86782880000101
ReLU+Dropout,relu,0.3,70,4096,0.7385855317115784,0.7422500252723694,0.6430203318595886,0.7749000191688538,-0.032649993896484375,44.17251039999974
GELU,gelu,0.0,70,4096,0.5618710517883301,0.814466655254364,0.5851165652275085,0.8021000027656555,0.012366652488708496,42.01892740000039
Mish,mish,0.0,70,4096,0.5625203251838684,0.8143500089645386,0.5825852751731873,0.8036999702453613,0.010650038719177246,44.08494480000081
ReLU+Drop0.1,relu,0.1,70,4096,0.6340414881706238,0.7855666875839233,0.5991176962852478,0.7978000044822693,-0.012233316898345947,44.53195589999814
ReLU+Drop0.2,relu,0.2,70,4096,0.6913474798202515,0.7623166441917419,0.6256056427955627,0.7821999788284302,-0.019883334636688232,44.43523120000464
ReLU+Drop0.4,relu,0.4,70,4096,0.8078012466430664,0.7177166938781738,0.672248899936676,0.769599974155426,-0.0518832802772522,44.11157510000339
ReLU+Drop0.5,relu,0.5,70,4096,0.8665996789932251,0.6923499703407288,0.695641040802002,0.7558000087738037,-0.06345003843307495,44.32313270000304
ReLU+Drop0.6,relu,0.6,70,4096,0.9709118008613586,0.6426833271980286,0.7500401139259338,0.7258999943733215,-0.08321666717529297,44.228981100000965
ReLU+Drop0.7,relu,0.7,70,4096,1.1524617671966553,0.5789499878883362,0.8376674652099609,0.7132999897003174,-0.1343500018119812,44.140804099995876
ReLU+Drop0.8,relu,0.8,70,4096,1.5118002891540527,0.4395333230495453,1.1416324377059937,0.6676999926567078,-0.22816666960716248,44.89627440000186
Sigmoid,sigmoid,0.0,70,8192,2.10791015625,0.5423666834831238,2.107125997543335,0.5324000120162964,0.009966671466827393,40.28729860000021
ReLU+Drop0.9,relu,0.9,70,4096,2.1469156742095947,0.19830000400543213,2.0827741622924805,0.4991999864578247,-0.3008999824523926,44.680455099995015
ReLU,relu,0.0,70,8192,0.6740906834602356,0.7820833325386047,0.6921371817588806,0.7685999870300293,0.01348334550857544,40.032248100003926
ReLU+Dropout,relu,0.3,70,8192,0.8736459016799927,0.6973833441734314,0.7463155388832092,0.7376999855041504,-0.040316641330718994,44.389458799996646
GELU,gelu,0.0,70,8192,0.6676502823829651,0.7885666489601135,0.6838929653167725,0.7771999835968018,0.011366665363311768,41.8980037999936
Mish,mish,0.0,70,8192,0.672081470489502,0.7796833515167236,0.6838371157646179,0.7721999883651733,0.007483363151550293,43.69300700000167
ReLU+Drop0.1,relu,0.1,70,8192,0.7535725831985474,0.7447333335876465,0.7072485089302063,0.760200023651123,-0.015466690063476562,43.9251402000009
ReLU+Drop0.2,relu,0.2,70,8192,0.8118680119514465,0.7240166664123535,0.7232031226158142,0.7574999928474426,-0.03348332643508911,43.57119989999774
ReLU+Drop0.4,relu,0.4,70,8192,0.9597098231315613,0.6587833166122437,0.7905450463294983,0.7178000211715698,-0.05901670455932617,43.86251190000621
ReLU+Drop0.5,relu,0.5,70,8192,1.054036259651184,0.6213833093643188,0.8355947136878967,0.7057999968528748,-0.08441668748855591,44.05286099999648
ReLU+Drop0.6,relu,0.6,70,8192,1.1954407691955566,0.5677833557128906,0.9116826057434082,0.6847000122070312,-0.11691665649414062,43.66233709999506
ReLU+Drop0.7,relu,0.7,70,8192,1.400265097618103,0.4879166781902313,1.0681142807006836,0.6498000025749207,-0.16188332438468933,43.67517500000395
ReLU+Drop0.8,relu,0.8,70,8192,1.796339511871338,0.34878334403038025,1.4776273965835571,0.6305000185966492,-0.2817166745662689,43.668331200002285
ReLU+Drop0.9,relu,0.9,70,8192,2.1962332725524902,0.19901666045188904,2.1325666904449463,0.4431999921798706,-0.24418333172798157,43.47950889999629
Sigmoid,sigmoid,0.0,70,16384,2.2313218116760254,0.47991666197776794,2.2306313514709473,0.4722000062465668,0.007716655731201172,39.77678809999634
ReLU,relu,0.0,70,16384,0.833191990852356,0.7365333437919617,0.8458011746406555,0.7222999930381775,0.01423335075378418,40.30529470000329
ReLU+Dropout,relu,0.3,70,16384,1.089180827140808,0.6223999857902527,0.9269174933433533,0.6802999973297119,-0.05790001153945923,43.303887699999905
GELU,gelu,0.0,70,16384,0.8819400668144226,0.7018333077430725,0.8919695019721985,0.6916000247001648,0.010233283042907715,42.184537200002524
Mish,mish,0.0,70,16384,0.837794840335846,0.7338666915893555,0.8484746217727661,0.7226999998092651,0.011166691780090332,43.699129799999355
ReLU+Drop0.1,relu,0.1,70,16384,0.9208504557609558,0.6939666867256165,0.8586626052856445,0.722100019454956,-0.0281333327293396,43.91774399999849
ReLU+Drop0.2,relu,0.2,70,16384,1.0103540420532227,0.6494166851043701,0.9008620977401733,0.6887999773025513,-0.03938329219818115,44.21676480000315
ReLU+Drop0.4,relu,0.4,70,16384,1.2100276947021484,0.5837833285331726,0.9999272227287292,0.6754999756813049,-0.09171664714813232,44.138627799999085
ReLU+Drop0.5,relu,0.5,70,16384,1.3249691724777222,0.5371666550636292,1.0503343343734741,0.6769999861717224,-0.13983333110809326,43.63601219999691
ReLU+Drop0.6,relu,0.6,70,16384,1.5029748678207397,0.4780833423137665,1.1980658769607544,0.6535999774932861,-0.17551663517951965,39.78021129999979
ReLU+Drop0.7,relu,0.7,70,16384,1.7533572912216187,0.3747333288192749,1.4530177116394043,0.6209999918937683,-0.2462666630744934,39.52171660000022
ReLU+Drop0.8,relu,0.8,70,16384,2.0976102352142334,0.23649999499320984,1.928605079650879,0.5932999849319458,-0.35679998993873596,39.147857900003146
ReLU+Drop0.9,relu,0.9,70,16384,2.277863025665283,0.1507166624069214,2.2538769245147705,0.39730000495910645,-0.24658334255218506,39.20123590000003
ReLU,relu,0.0,80,32,0.09272871166467667,0.971666693687439,0.4542139768600464,0.8776999711990356,0.09396672248840332,166.68129800000315
Sigmoid,sigmoid,0.0,80,32,0.3385988175868988,0.8787500262260437,0.3954761326313019,0.8598999977111816,0.01885002851486206,173.7809300000008
ReLU+Dropout,relu,0.3,80,32,0.20127925276756287,0.9251333475112915,0.323284775018692,0.8898000121116638,0.035333335399627686,167.72694090000005
GELU,gelu,0.0,80,32,0.14123769104480743,0.9507333040237427,0.37016963958740234,0.8822000026702881,0.06853330135345459,166.49075289999746
ReLU+Drop0.1,relu,0.1,80,32,0.14130224287509918,0.9475833177566528,0.345188707113266,0.8921999931335449,0.05538332462310791,166.9378069000013
Mish,mish,0.0,80,32,0.15554295480251312,0.9444500207901001,0.3637179732322693,0.8841999769210815,0.060250043869018555,174.59693200000038
ReLU+Drop0.2,relu,0.2,80,32,0.17249789834022522,0.9359999895095825,0.32270151376724243,0.8928999900817871,0.04309999942779541,166.77527250000276
ReLU+Drop0.4,relu,0.4,80,32,0.23570658266544342,0.9137666821479797,0.31553521752357483,0.8888999819755554,0.024866700172424316,166.26624779999838
ReLU+Drop0.5,relu,0.5,80,32,0.27064788341522217,0.9021333456039429,0.32129454612731934,0.8877999782562256,0.014333367347717285,167.10584899999958
ReLU+Drop0.6,relu,0.6,80,32,0.31815168261528015,0.8869666457176208,0.3346998393535614,0.882099986076355,0.004866659641265869,166.8532683999947
ReLU+Drop0.7,relu,0.7,80,32,0.3841821849346161,0.8640999794006348,0.3587980568408966,0.8723000288009644,-0.00820004940032959,166.5401914000031
ReLU+Drop0.8,relu,0.8,80,32,0.5584497451782227,0.8043000102043152,0.43633168935775757,0.8525999784469604,-0.048299968242645264,167.21850320000522
Sigmoid,sigmoid,0.0,80,64,0.3931548595428467,0.8605333566665649,0.4371952712535858,0.8446000218391418,0.015933334827423096,106.07883449999645
ReLU,relu,0.0,80,64,0.17584185302257538,0.9392499923706055,0.39552608132362366,0.8693000078201294,0.06994998455047607,100.37299289999646
ReLU+Dropout,relu,0.3,80,64,0.24994367361068726,0.9085333347320557,0.3192756772041321,0.8877999782562256,0.020733356475830078,105.0369200999994
GELU,gelu,0.0,80,64,0.21574176847934723,0.9212999939918518,0.3624444007873535,0.8733000159263611,0.04799997806549072,103.70456729999569
Mish,mish,0.0,80,64,0.22430962324142456,0.9178833365440369,0.35851341485977173,0.8737000226974487,0.044183313846588135,115.67526530000032
ReLU+Drop0.9,relu,0.9,80,32,1.2512723207473755,0.46878331899642944,0.9976922869682312,0.5726000070571899,-0.1038166880607605,170.97875479999493
ReLU+Drop0.1,relu,0.1,80,64,0.1970321387052536,0.9279666543006897,0.31876039505004883,0.8880000114440918,0.0399666428565979,104.54452299999684
ReLU+Drop0.2,relu,0.2,80,64,0.22514395415782928,0.9186499714851379,0.319118857383728,0.888700008392334,0.029949963092803955,106.03926360000332
ReLU+Drop0.4,relu,0.4,80,64,0.2806861698627472,0.8986499905586243,0.32360658049583435,0.8862000107765198,0.012449979782104492,104.618275300003
ReLU+Drop0.5,relu,0.5,80,64,0.3133563697338104,0.8889333605766296,0.3328443765640259,0.8834999799728394,0.005433380603790283,104.48649060000025
ReLU+Drop0.6,relu,0.6,80,64,0.348661333322525,0.8769000172615051,0.34301885962486267,0.8762000203132629,0.0006999969482421875,105.08461280000483
ReLU+Drop0.7,relu,0.7,80,64,0.4129858911037445,0.8585000038146973,0.36713385581970215,0.871999979019165,-0.013499975204467773,105.06791959999828
ReLU,relu,0.0,80,128,0.24515953660011292,0.9137333035469055,0.36298230290412903,0.8733000159263611,0.040433287620544434,66.9327975999986
Sigmoid,sigmoid,0.0,80,128,0.45527002215385437,0.838616669178009,0.48710867762565613,0.8241999745368958,0.014416694641113281,70.09910089999903
ReLU+Drop0.8,relu,0.8,80,64,0.5810533165931702,0.7954166531562805,0.45056137442588806,0.8504999876022339,-0.05508333444595337,106.07693540000037
ReLU+Dropout,relu,0.3,80,128,0.3083690404891968,0.8891833424568176,0.3368534743785858,0.8806999921798706,0.008483350276947021,70.4357056000008
ReLU+Drop0.9,relu,0.9,80,64,1.046230435371399,0.5859666466712952,0.7651873826980591,0.7290999889373779,-0.14313334226608276,107.25407700000505
GELU,gelu,0.0,80,128,0.2756427824497223,0.900950014591217,0.3795570135116577,0.8662999868392944,0.03465002775192261,69.70132150000427
ReLU+Drop0.1,relu,0.1,80,128,0.2681789696216583,0.9036999940872192,0.32959187030792236,0.8820000290870667,0.021699965000152588,71.16775870000129
Mish,mish,0.0,80,128,0.2823331654071808,0.8986333608627319,0.3789847493171692,0.8655999898910522,0.03303337097167969,77.00485489999846
ReLU+Drop0.2,relu,0.2,80,128,0.28837743401527405,0.8948166370391846,0.3319295346736908,0.8817999958992004,0.01301664113998413,71.02069299999857
ReLU+Drop0.4,relu,0.4,80,128,0.33089014887809753,0.8827000260353088,0.34168437123298645,0.8784999847412109,0.0042000412940979,71.12524680000206
ReLU+Drop0.5,relu,0.5,80,128,0.3602047562599182,0.8739166855812073,0.35096290707588196,0.8755999803543091,-0.0016832947731018066,71.83827739999833
ReLU+Drop0.6,relu,0.6,80,128,0.40027865767478943,0.8619166612625122,0.3662480115890503,0.8695999979972839,-0.0076833367347717285,71.37368720000086
